title,link,exp,company,salary,cities,tags
Senior Python Engineer,https://jobs.dou.ua/companies/assisterr/vacancies/279406/,5plus,assisterr,,"за кордоном, віддалено","Python,REST,API,AI,MongoDB,Asyncio,CI/CD"
Senior Python Developer,https://jobs.dou.ua/companies/intellectsoft/vacancies/279442/,5plus, Intellectsoft,,віддалено,"Python,Django,Flask,SQL,API,Docker,AI,JS,React,OOP,NoSQL,Microservice,Kubernetes,TypeScript"
Senior Python / Golang Developer in Email Services: Development & QA Team,https://jobs.dou.ua/companies/zone3000/vacancies/272473/,5plus, ZONE3000,,віддалено,"Python,Django,SQL,REST,Docker,AWS,Linux,PostgreSQL,AI,Networking,Microservice,Kubernetes,Jenkins"
Senior Test Automation Engineer w/ Python,https://jobs.dou.ua/companies/luxoft/vacancies/275834/,5plus, Luxoft,,віддалено,"Python,REST,API,AI"
"Senior Full-Stack Developer (Python, Node.js, TypeScript, React)",https://jobs.dou.ua/companies/gearheart/vacancies/279519/,5plus, Gearheart.io,від $4500,віддалено,"Python,Django,Git,SQL,API,Docker,PostgreSQL,JavaScript,JS,React,MongoDB,GraphQL,Kubernetes,Vue,TypeScript"
Senior Back-End Engineer (Python),https://jobs.dou.ua/companies/preply/vacancies/272702/,5plus, Preply,,Київ,"Python,Django,SQL,AI,React,CI/CD"
Senior Python Developer,https://jobs.dou.ua/companies/numerical-technologies-ltd/vacancies/231293/,5plus, Numerical Technologies,,"за кордоном, віддалено","Python,Git,REST,API,AWS,AI,OOP,Microservice"
Senior Backend Python Developer,https://jobs.dou.ua/companies/beetroot/vacancies/279602/,5plus, Beetroot,,"Київ, Львів, Одеса, Івано-Франківськ, Кременчук, Полтава, віддалено","Python,SQL,REST,API,Docker,AWS,AI,NoSQL,Microservice,MongoDB,Machine Learning,Kubernetes"
Senior Python Automation QA Engineer,https://jobs.dou.ua/companies/devspiration/vacancies/279749/,5plus, devspiration,,"Львів, віддалено","Python,Git,API,AI,CI/CD"
Senior Backend Engineer,https://jobs.dou.ua/companies/datarobot/vacancies/269927/?from=list_hot,5plus, DataRobot,до $6000,"Київ, Львів, Хмельницький, віддалено","Python,Flask,REST,API,Docker,AWS,AI,Networking,Kubernetes,CI/CD,Jenkins"
Senior software engineer (scraping),https://jobs.dou.ua/companies/competera/vacancies/266859/?from=list_hot,5plus, Competera,,віддалено,"Python,SQL,API,AWS,PostgreSQL,AI,Microservice,Asyncio,Machine Learning,Kubernetes,Data Analysis"
"Lead Full Stack Python(Flask)/React (80% BE, 20% FE)",https://jobs.dou.ua/companies/nearshorefriends/vacancies/277482/?from=list_hot,5plus, nearshorefriends,,віддалено,"Python,Flask,Git,REST,API,AI,JS,React,Fullstack"
